Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,ConceptNum,Acronym,FloraPage,Scientific_name_auths
Dicotyledons,Aizoaceae,Carpobrotus chilensis,Accepted,Carpobrotus chilensis,,"exotic, naturalized",Fully described,2629,CARCHI,"vol2, pg61",Carpobrotus chilensis (Molina) N.E. Br. 
Dicotyledons,Aizoaceae,Carpobrotus edulis,Accepted,Carpobrotus edulis,,"exotic, not naturalized",,14440,CAREDU,,Carpobrotus edulis (L.) N.E. Br. 
Dicotyledons,Aizoaceae,Delosperma cooperi,Accepted,Delosperma cooperi,,"exotic, not naturalized",,14205,DELCOO,,Delosperma cooperi L. Bolus 
Dicotyledons,Aizoaceae,Mesembryanthemum chilense,Synonym,Carpobrotus chilensis,,,,2629,MESCHI,,Mesembryanthemum chilense Molina 
Dicotyledons,Aizoaceae,Sesuvium verrucosum,Accepted,Sesuvium verrucosum,,native,Fully described,3795,SESVER,"vol2, pg62",Sesuvium verrucosum Raf. 
Dicotyledons,Aizoaceae,Tetragonia expansa,Synonym,Tetragonia tetragonioides,,,,4056,TETEXP,,Tetragonia expansa Murray 
Dicotyledons,Aizoaceae,Tetragonia tetragonioides,Accepted,Tetragonia tetragonioides,,"exotic, not naturalized",,4056,TETTET,,Tetragonia tetragonioides (Pall.) Kuntze 
Dicotyledons,Amaranthaceae,Allenrolfea occidentalis,Accepted,Allenrolfea occidentalis,,native,Fully described,135,ALLOCC,"vol2, pg64",Allenrolfea occidentalis (S. Watson) Kuntze 
Dicotyledons,Amaranthaceae,Amaranthus albus,Accepted,Amaranthus albus,,"exotic, naturalized",Fully described,162,AMAALB,"vol2, pg65",Amaranthus albus L. 
Dicotyledons,Amaranthaceae,Amaranthus blitoides,Accepted,Amaranthus blitoides,,uncertain,Fully described,176,AMABLI,"vol2, pg65",Amaranthus blitoides S. Watson 
Dicotyledons,Amaranthaceae,Amaranthus californicus,Accepted,Amaranthus californicus,,native,Fully described,169,AMACAL,"vol2, pg65",Amaranthus californicus (Moq.) S. Watson 
Dicotyledons,Amaranthaceae,Amaranthus deflexus,Accepted,Amaranthus deflexus,,"exotic, not naturalized",,174,AMADEF,,Amaranthus deflexus L. 
Dicotyledons,Amaranthaceae,Amaranthus graecizans,Misapplied,Amaranthus blitoides,,,,176,AMAGRA,,Amaranthus graecizans L. 
Dicotyledons,Amaranthaceae,Amaranthus hybridus,Accepted,Amaranthus hybridus,,uncertain,Fully described,177,AMAHYB,"vol2, pg66",Amaranthus hybridus L. 
Dicotyledons,Amaranthaceae,Amaranthus hypochondriacus,Accepted,Amaranthus hypochondriacus,,"exotic, not naturalized",,5045,AMAHYP,,Amaranthus hypochondriacus L. 
Dicotyledons,Amaranthaceae,Amaranthus palmeri,Accepted,Amaranthus palmeri,,"exotic, not naturalized",,14870,AMAPAL,,Amaranthus palmeri S. Watson 
Dicotyledons,Amaranthaceae,Amaranthus powellii,Accepted,Amaranthus powellii,,native,Fully described,181,AMAPOW,"vol2, pg66",Amaranthus powellii S. Watson 
Dicotyledons,Amaranthaceae,Amaranthus retroflexus,Accepted,Amaranthus retroflexus,,native,Fully described,183,AMARET,"vol2, pg66",Amaranthus retroflexus L. 
Dicotyledons,Amaranthaceae,Amaranthus viridis,Accepted,Amaranthus viridis,,"exotic, not naturalized",,12779,AMAVIR,,Amaranthus viridis L. 
Dicotyledons,Amaranthaceae,Atriplex argentea,Accepted,Atriplex argentea,Bare species,native,,9895,ATRARG,,Atriplex argentea Nutt. 
